wall_board_name,sequence,category,button_count,class_name,button_class,center_x_mm,center_y_mm,location,wire_number,note,expected_xml
w2_b2,1,Switch,1,Switch_Quantity1_06,1_1,350,120,"(2, 4, 1)",35,,objects/seq_01_switch_quantity1_06.xml
w2_b2,2,Knob,1,Knob_Quantity1_03,1_1,294,120,"(2, 4, 2)",36,,objects/seq_02_knob_quantity1_03.xml
w2_b2,3,Switch,1,Switch_Quantity1_07,1_1,238,120,"(2, 4, 3)",37,,objects/seq_03_switch_quantity1_07.xml
w2_b2,4,Switch,1,Switch_Quantity1_08,1_1,182,120,"(2, 4, 4)",38,2.4*1.9,objects/seq_04_switch_quantity1_08.xml
w2_b2,5,Switch,1,Switch_Quantity1_09,1_1,126,120,"(2, 4, 5)",39,,objects/seq_05_switch_quantity1_09.xml
w2_b2,6,Switch,1,Switch_Quantity1_10,1_1,70,120,"(2, 4, 6)",40,,objects/seq_06_switch_quantity1_10.xml
w2_b2,7,Switch,1,Switch_Quantity1_11,1_1,10,120,"(2, 4, 7)",41,,objects/seq_07_switch_quantity1_11.xml
w2_b2,8,Switch,1,Switch_Quantity1_12,1_1,-50,120,"(2, 4, 8)",42,,objects/seq_08_switch_quantity1_12.xml
w2_b2,9,Switch,1,Switch_Quantity1_13,1_1,-110,120,"(2, 4, 9)",43,,objects/seq_09_switch_quantity1_13.xml
w2_b2,10,Switch,1,Switch_Quantity1_14,1_1,-170,120,"(2, 4, 9)",44,,objects/seq_10_switch_quantity1_14.xml
w2_b2,11,Knob,1,Knob_Quantity1_04,1_1,-230,120,"(2, 4, 10)",45,厚30mm,objects/seq_11_knob_quantity1_04.xml
w2_b2,12,Switch,1,Switch_Quantity1_15,1_1,-290,120,"(2, 4, 11)",46,厚9mm,objects/seq_12_switch_quantity1_15.xml
w2_b2,13,Switch,1,Switch_Quantity1_16,1_1,-350,120,"(2, 4, 12)",47,厚15mm,objects/seq_13_switch_quantity1_16.xml
w2_b2,14,Switch,1,Switch_Quantity1_17,1_1,350,0,"(2, 5, 1)",48,,objects/seq_14_switch_quantity1_17.xml
w2_b2,15,Switch,1,Switch_Quantity1_18,1_1,296,0,"(2, 5, 2)",49,,objects/seq_15_switch_quantity1_18.xml
w2_b2,16,Switch,1,Switch_Quantity1_19,1_1,242,0,"(2, 5, 3)",50,,objects/seq_16_switch_quantity1_19.xml
w2_b2,17,Switch,1,Switch_Quantity1_20,1_1,188,0,"(2, 5, 4)",51,,objects/seq_17_switch_quantity1_20.xml
w2_b2,18,Switch,1,Switch_Quantity1_21,1_1,134,0,"(2, 5, 5)",52,,objects/seq_18_switch_quantity1_21.xml
w2_b2,19,Switch,1,Switch_Quantity1_22,1_1,70,0,"(2, 5, 6)",53,,objects/seq_19_switch_quantity1_22.xml
w2_b2,20,Stop,1,Stop_Quantity1_1,1_1,-70,0,"(2, 5, 8)",54,,objects/seq_20_stop_quantity1_1.xml
w2_b2,21,Switch,1,Switch_Quantity1_23,1_1,-140,0,"(2, 5, 9)",55,直径2.1,objects/seq_21_switch_quantity1_23.xml
w2_b2,22,Switch,1,Switch_Quantity1_24,1_1,-210,0,"(2, 5, 10)",56,,objects/seq_22_switch_quantity1_24.xml
w2_b2,23,Switch,1,Switch_Quantity1_25,1_1,-280,0,"(2, 5, 11)",57,,objects/seq_23_switch_quantity1_25.xml
w2_b2,24,Stop,1,Stop_Quantity1_2,1_1,-350,0,"(2, 5, 12)",58,厚20mm,objects/seq_24_stop_quantity1_2.xml
w2_b2,25,Switch,1,Switch_Quantity1_26,1_1,350,-120,"(2, 6, 1)",59,3*2.5,objects/seq_25_switch_quantity1_26.xml
w2_b2,26,Switch,1,Switch_Quantity1_27,1_1,285,-120,"(2, 6, 2)",60,,objects/seq_26_switch_quantity1_27.xml
w2_b2,27,Switch,1,Switch_Quantity1_28,1_1,220,-120,"(2, 6, 3)",61,,objects/seq_27_switch_quantity1_28.xml
w2_b2,28,Switch,1,Switch_Quantity1_29,1_1,155,-120,"(2, 6, 4)",62,,objects/seq_28_switch_quantity1_29.xml
w2_b2,29,Switch,1,Switch_Quantity1_30,1_1,90,-120,"(2, 6, 5)",63,,objects/seq_29_switch_quantity1_30.xml
w2_b2,30,Switch,1,Switch_Quantity1_31,1_1,25,-120,"(2, 6, 6)",64,,objects/seq_30_switch_quantity1_31.xml
w2_b2,31,Switch,1,Switch_Quantity1_32,1_1,-43.2,-120,"(2, 6, 7)",65,2.2*1.7,objects/seq_31_switch_quantity1_32.xml
w2_b2,32,Switch,1,Switch_Quantity1_33,1_1,-96.2,-120,"(2, 6, 8)",66,,objects/seq_32_switch_quantity1_33.xml
w2_b2,33,Switch,1,Switch_Quantity1_34,1_1,-149.2,-120,"(2, 6, 9)",67,2*1.5,objects/seq_33_switch_quantity1_34.xml
w2_b2,34,Switch,1,Switch_Quantity1_35,1_1,-202.2,-120,"(2, 6, 10)",68,厚6mm,objects/seq_34_switch_quantity1_35.xml
w2_b2,35,,,,,-255.2,-120,"(2, 6, 11)",,,objects/seq_35_unknown.xml
w2_b2,36,,,,,-308.2,-120,"(2, 6, 12)",,,objects/seq_36_unknown.xml
w2_b2,37,,,,,-361.2,-120,"(2, 6, 13)",,,objects/seq_37_unknown.xml
